Gender,Age,Education level,Major,Administrative regions,Number of use Internet and Internet-related services,Internet/ Digital devices skills level,Digital devices type,Type of connectivity,Purpose of using internet,Operating system of desktop/laptop,Operating system of smartphone/tablet,Common security tools,Secure of person's digital devices,Legitimacy of a website,Password with personal information,Aware of the danger of clicking pop-up screens,Attention to person's account privacy,Protection of social media services for personal info,Read terms and conditions of website,Change the important accounts passwords frequently,Using public Wi-Fi,No value for my digital devices to hackers,Install software updates regularly,Careful about clicking on links in an email or other post,Digital devices with Internet security tool,Internet security tool up to date,Keep yourself updated about cybercrime (offline Sources),Keep yourself updated about cybercrime (Online Sources),Avoid disclosing personal information online,Risk of becoming a victim of cybercrime has increased,Online personal information is not secure enough,Well protected against cybercrime,Accept increased Internet surveillance from the government,Laws are effective in managing the cybercrime problem,Informed about the threat of cybercrime,Received phishing emails,Stealing your personal data,Malware infection of a device,Being unable to access online services because of cyber attacks,Encountering material promotes hatred or religious extremism,Online extortion,Concerned about identity theft,Not concerned about encountering child pornography online,Concerned about receiving phishing emails,Concerned about not being able to access online services because of cyber attacks,Concerned about encountering material promotes hatred or religious extremism,Concerned about encountering online extortion,Feeling about the threat of cybercrimes in the future,Responsibility of government in raising awareness of cybercrime,Responsibility of media in raising awareness of cybercrime,Responsibility of those offering online/Internet-based servicesin raising awareness of cybercrime,Responsibility of user itself in raising awareness of cybercrime,Responsibility of education system in raising awareness of cybercrime,Role of the government in combating cybercrimes,Victim of cybercrime,Report cybercrime,To who report cybercrime
Male,18-29,"Postgraduate (Master’s, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G), Broadband (wired)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication","Windows 10, Windows 7, Linux",Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Somewhat secure,Always,Seldom,Always,Always,Seldom,Always,Always,Seldom,Seldom,Always,Always,"Desktop, Laptop, Smartphone,Tablet","Yes, I manually updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Sometimes,Do not know,Sometimes,Do not know,Always,Do not know,Always,Never,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice, Don’t know but will ask my friends for advice"
Male,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Windows 7,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Seldom,Often,Always,Always,Always,Always,Sometimes,Often,Often,Often,Always,"Laptop, Smartphone",I don't know,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Sometimes,Never,Do not know,Do not know,Do not know,Do not know,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,They will become a more serious issue in the future,Agree,Agree,Agree,Agree,Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Police
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Najran,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Windows 7,Android,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Often,Seldom,Never,Often,Often,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Often,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Sometimes,Do not know,Do not know,Do not know,Do not know,Never,Never,Never,Sometimes,Never,Never,Do not know,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would",Police
Male,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Entertainment, Communication",Windows 10,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Often,Never,Sometimes,Often,Seldom,Sometimes,Seldom,Seldom,Sometimes,Seldom,Always,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Government or professional reports","TV, news, radio",Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Agree,Sometimes,Do not know,Sometimes,Do not know,Sometimes,Never,Somtimes,Never,Never,Always,Always,Always,No significant change,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Don’t know,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,30-39,High School,Education,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Private Wi-Fi (e.g. in your home),"Professional reasons, Education, Online services, Entertainment, Communication",I don't know,IOS,"Authentication (e.g. password, PIN) , Software update",Not sure (difficult to determine),Always,Never,Always,Always,Seldom,Never,Seldom,Never,Never,Always,Always,None of the above,"No, I think it is automatically updated","Newspapers, magazines, Posters","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Never,Always,Do not know,Always,Always,Always,Always,Never,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police"
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment",I don't know,IOS,Anti-virus,Not sure (difficult to determine),Sometimes,Often,Often,Always,Often,Sometimes,Always,Often,Often,Often,Often,Smartphone,No,Government or professional reports,Government websites (e.g. CERT),Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No role,No,"No, I would not",Saudi CERT
Male,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services",Windows 8,IOS,Anti-virus,Neutral,Often,Always,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Always,Always,Smartphone,"Yes, I believe it is automatically updated",I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Sometimes,Sometimes,Always,Sometimes,Do not know,Sometimes,Always,Always,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Saudi CERT
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Riyadh,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Online services",Windows 10,I don't know,"Anti-virus, Firewall",Somewhat secure,Often,Always,Sometimes,Never,Often,Often,Sometimes,Often,Sometimes,Sometimes,Never,Desktop,"No, I think it is automatically updated","Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs",Government websites (e.g. CERT),Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Never,Never,Do not know,Do not know,Do not know,Do not know,Somtimes,Never,Always,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Work towards providing a global cyber security framework,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,30-39,"Postgraduate (Master’s, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Desktop, Laptop, Smartphone, Tablet","Public Wi-Fi (e.g. in coffee shop), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Online services, Entertainment, Communication",Windows 10,"IOS, Android","Anti-virus, Authentication (e.g. password, PIN) , Encryption",Somewhat secure,Often,Often,Always,Often,Often,Sometimes,Seldom,Sometimes,Often,Sometimes,Often,"Desktop, Laptop, Smartphone","Yes, I manually updated",I do not feel that I keep myself updated,"TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Always,Sometimes,Sometimes,Do not know,Do not know,Do not know,Somtimes,Always,Always,Sometimes,Sometimes,Sometimes,Don't know,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,Yes,"No, I would not",Police
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks","Windows 8, I don't know",Android,"Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Often,Always,Often,Always,Sometimes,Always,Always,Sometimes,Always,Often,Often,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters","TV, news, radio",Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Never,Never,Do not know,Never,Never,Never,Never,Always,Always,Always,Always,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Female,40-49,"Undergraduate (Diploma, BSc)",Social Science,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Private Wi-Fi (e.g. in your home),"Education, Social networks, Online services, Entertainment",Windows 10,Android,"Anti-virus, Firewall",Somewhat secure,Often,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Smartphone,"Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc.","TV, news, radio, Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Always,Sometimes,Sometimes,Always,Sometimes,Don't know,Neutral,Agree,Agree,Neutral,Agree,Have stricter laws and punishments for cyber crimes,Yes,"No, I would not",Don’t know but will ask my friends for advice
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),Social networks,"Windows 7, I don't know","IOS, Android","Anti-virus, Firewall",Somewhat secure,Always,Seldom,Always,Often,Sometimes,Always,Never,Never,Often,Always,Always,"Laptop, Smartphone","Yes, I manually updated",I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Never,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Always,The threat will vanish eventually,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Don’t know,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,"Windows 10, I don't know",IOS,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Often,Seldom,Always,Often,Sometimes,Seldom,Sometimes,Sometimes,Always,Always,Always,"Laptop, Smartphone","Yes, I manually updated",I do not feel that I keep myself updated,"TV, news, radio",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Do not know,Do not know,Do not know,Never,Do not know,Never,Never,Never,Never,Never,Sometimes,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Saudi CERT
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Asir,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Education, Social networks, Online services, Communication",Windows 10,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Always,Never,Always,Always,Often,Always,Always,Sometimes,Never,Always,Always,"Desktop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Government or professional reports","TV, news, radio, Rely on automatic updates",Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Never,Never,Never,Sometimes,Do not know,Never,Always,Never,Never,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would","Saudi eGovernment Portal , Don’t know but will ask my friends for advice"
Male,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,I don't know,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Always,Always,Always,Sometimes,Often,Always,Always,Never,Seldom,Sometimes,Sometimes,"Desktop, Smartphone","Yes, I believe it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Sometimes,Do not know,Do not know,Sometimes,Always,Do not know,Always,Always,Never,Never,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Saudi CERT
Male,30-39,"Postgraduate (Master’s, PhD)",Education,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,IOS,"Anti-virus, Authentication (e.g. password, PIN)",Somewhat secure,Often,Seldom,Sometimes,Often,Sometimes,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,"Laptop, Smartphone","Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Sometimes,Never,Do not know,Do not know,Sometimes,Do not know,Never,Do not know,Always,Always,Always,Sometimes,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Work towards providing a global cyber security framework,No,"Yes, I would",Saudi eGovernment Portal
Male,40-49,High School,Education,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Communication,I don't know,Android,Backup,Somewhat secure,Sometimes,Always,Sometimes,Often,Always,Always,Always,Sometimes,Sometimes,Often,Sometimes,Smartphone,I don't know,"Newspapers, magazines, Posters","TV, news, radio",Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't know,Neutral,Neutral,Neutral,Agree,Agree,Monitor organisations misusing consumer information,No,"Yes, I would","Saudi CERT, Don’t know but will ask my friends for advice"
Male,50+,High School,Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Smartphone","Public Wi-Fi (e.g. in coffee shop), Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Entertainment, Communication","Windows 10, mac OS",Android,"Anti-virus, Software update",Very secure,Always,Seldom,Always,Always,Often,Often,Always,Always,Often,Often,Always,"Desktop, Smartphone","Yes, I manually updated","Newspapers, magazines, Posters, Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs",Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,Always,Always,The threat will vanish eventually,Strongly Agree,Agree,Neutral,Agree,Agree,Make people aware of cyber crime,Yes,"No, I would not","Police, Don’t know but will ask my friends for advice"
Male,40-49,"Postgraduate (Master’s, PhD)",Education,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Private Wi-Fi (e.g. in your home),Communication,I don't know,IOS,None,Not sure (difficult to determine),Always,Sometimes,Always,Always,Sometimes,Sometimes,Always,Often,Always,Always,Always,Smartphone,I don't know,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't know,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Don’t know,No,"No, I would not","Police, Don’t know but will ask my friends for advice"
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Social networks, Online services, Entertainment, Communication",Windows 8,Android,"Anti-virus, Authentication (e.g. password, PIN) , Software update",Neutral,Sometimes,Seldom,Always,Always,Seldom,Never,Always,Never,Seldom,Often,Often,Smartphone,"Yes, I manually updated",Government or professional reports,"TV, news, radio",Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Never,Never,Do not know,Do not know,Do not know,Do not know,Never,Always,Always,Always,Always,Always,No significant change,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Police, Don’t know but will ask my friends for advice"
Male,18-29,"Undergraduate (Diploma, BSc)",Math,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Professional reasons, Education, Social networks, Online services, Entertainment, Communication",I don't know,I don't know,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Sometimes,Often,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Smartphone,"No, I think it is automatically updated",I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Always,Do not know,Always,Do not know,Sometimes,Always,Always,Do not know,Always,Always,Always,Always,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,30-39,High School,Math,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Social networks, Online services,Entertainment, Communication",I don't know,IOS,"Authentication (e.g. password, PIN)",Somewhat secure,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,None of the above,No,I do not feel that I keep myself updated,Rely on automatic updates,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Sometimes,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,They will become a more serious issue in the future,Agree,Agree,Agree,Agree,Agree,Make people aware of cyber crime,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,18-29,"Undergraduate (Diploma, BSc)",Islamic studies,Riyadh,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Entertainment, Communication",Windows 7,IOS,"Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Sometimes,Often,Always,Always,Sometimes,Sometimes,Often,Never,Always,Always,Always,Smartphone,"Yes, I believe it is automatically updated","Professional activities: conferences, meetings, briefings, etc., Government or professional reports","TV, news, radio, Government websites (e.g. CERT), Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Never,Never,Never,Never,Never,Never,Never,Do not know,Do not know,Do not know,Do not know,Do not know,They will become a more serious issue in the future,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,No role,No,"Yes, I would","Police, Committee for the Promotion of Virtue and the Prevention of Vice"
Male,30-39,High School,Islamic studies,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Entertainment, Communication",Windows 10,Android,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Somewhat secure,Always,Always,Always,Often,Seldom,Always,Always,Seldom,Sometimes,Often,Never,Laptop,"Yes, I believe it is automatically updated","Government or professional reports, I do not feel that I keep myself updated",Government websites (e.g. CERT),Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Do not know,Never,Sometimes,Never,Sometimes,Do not know,Never,Sometimes,Never,Always,Never,Never,The threat will vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"Yes, I would",Don’t know but will ask my friends for advice
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Mobile/cellular phone network (e.g. 3G/4G),Social networks,Windows 7,IOS,Anti-virus,Neutral,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Smartphone,No,I do not feel that I keep myself updated,"TV, news, radio, Internet, website, email bulletins, blogs, etc.",Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Always,Always,Always,Do not know,Sometimes,Do not know,Always,Sometimes,Always,Sometimes,Always,Sometimes,They will become a more serious issue in the future,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Make people aware of cyber crime,No,"No, I would not",Saudi eGovernment Portal
Male,40-49,"Undergraduate (Diploma, BSc)",Business Administration,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Smartphone",Mobile/cellular phone network (e.g. 3G/4G),"Education, Social networks, Online services, Entertainment, Communication",Windows 10,IOS,Backup,Somewhat secure,Always,Seldom,Always,Often,Sometimes,Always,Often,Seldom,Seldom,Always,Seldom,Desktop,"Yes, I believe it is automatically updated","Newspapers, magazines, Posters, Government or professional reports","TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do not know,Do not know,Do not know,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Sometimes,They will become a more serious issue in the future,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would",Saudi eGovernment Portal
Female,18-29,"Undergraduate (Diploma, BSc)",Languages,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone, Tablet","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Professional reasons, Social networks, Online services, Entertainment","Windows 10, mac OS",IOS,"Anti-virus, Firewall, Software update,Backup",Very secure,Often,Sometimes,Always,Always,Often,Sometimes,Always,Seldom,Often,Often,Always,"Desktop, Laptop","No, I think it is automatically updated","Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","Internet, website, email bulletins, blogs, etc.,",Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Sometimes,Do not know,Sometimes,Sometimes,Do not know,Do not know,Always,Never,Always,Always,Sometimes,Always,They will become a more serious issue in the future,Agree,Agree,Strongly Agree,Agree,Agree,Monitor organisations misusing consumer information,No,"Yes, I would","Saudi eGovernment Portal , Saudi CERT, Don’t know but will ask my friends for advice"
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Private Wi-Fi (e.g. in your home), Mobile/cellular phone network (e.g. 3G/4G)","Education, Social networks, Online services, Communication",Windows 8,IOS,"Authentication (e.g. password, PIN) , Software update,Backup",Somewhat secure,Seldom,Seldom,Often,Often,Sometimes,Seldom,Sometimes,Never,Seldom,Seldom,Often,"Laptop, Smartphone",No,Government or professional reports,"TV, news, radio, Government websites (e.g. CERT)",Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Sometimes,Do not know,Do not know,Do not know,Do not know,Never,Always,Do not know,Always,Never,Sometimes,Sometimes,They will become a more serious issue in the future,Strongly Agree,Agree,Agree,Agree,Agree,Have stricter laws and punishments for cyber crimes,No,"Yes, I would","Saudi eGovernment Portal , Don’t know but will ask my friends for advice"
